2016-05-12,4
2016-05-13,31
2016-05-16,11
2016-05-17,28
2016-05-20,9
2016-05-23,7
2016-05-27,26
2016-05-30,9
2016-05-31,4
2016-06-03,1
2016-06-04,17
2016-06-06,2
2016-06-08,3
2016-06-12,11
2016-06-13,4
2016-06-14,9
2016-06-15,1
2016-06-16,5
2016-06-17,3
2016-06-20,2
2016-06-21,7
2016-06-22,1
2016-06-23,6
2016-06-24,8
2016-06-27,2
2016-06-28,3
2016-06-30,5
2016-07-02,4
2016-07-06,12
2016-07-07,6
2016-07-11,16
2016-07-13,13
2016-07-14,1
2016-07-16,2
2016-07-19,7
2016-07-20,3
2016-07-22,7
2016-07-26,8
2016-07-27,4
2016-07-29,4
2016-07-30,2
2016-08-03,6
2016-08-06,2
2016-08-08,16
2016-08-09,4
2016-08-10,1
2016-08-11,2
2016-08-17,7
2016-08-18,4
2016-08-19,2
2016-08-20,14
2016-08-23,2
2016-08-26,2
2016-08-29,2
2016-08-30,5
2016-09-01,36
2016-09-05,13
2016-09-06,3
2016-09-07,4
2016-09-10,6
2016-09-14,9
2016-09-15,6
2016-09-27,39
2016-09-28,1
2016-09-30,17
2016-10-09,4
2016-10-13,4
2016-10-17,19
2016-10-18,3
2016-10-19,3
2016-10-20,1
2016-10-21,4
2016-10-24,6
2016-10-25,1
2016-10-27,10
2016-10-28,1
2016-10-31,4
2016-11-01,6
2016-11-02,7
2016-11-04,2
2016-11-07,9
2016-11-08,1
2016-11-09,5
2016-11-10,1
2016-11-14,11
2016-11-15,10
2016-11-16,2
2016-11-18,16
2016-11-21,10
2016-11-23,6
2016-11-24,1
2016-11-25,2
2016-11-28,7
2016-11-30,10
2016-12-02,12
2016-12-05,1
2016-12-07,14
2016-12-08,5
2016-12-09,7
2016-12-14,3
2016-12-20,28
2016-12-22,2
2016-12-30,53
2016-12-31,4
2017-01-03,7
2017-01-07,15
2017-01-14,21
2017-01-17,2
2017-01-23,10
2017-01-25,10
2017-01-26,7
2017-02-07,8
2017-02-14,6
2017-02-22,6
