年份,排名(Rank),公司名称(Company),所在国家或地区(Country),所在行业(Industry),销售收入(Sales),利润(Profits),总资产(Assets),市值(Market Vaue)
2007,65,Sumitomo Mitsui Financial /三井住友金融集团,日本(JA),银行,31.02,5.85,901.71,73.38
2007,66,Microsoft /微软,美国(US),软件和服务,46.06,11.91,66.37,275.85
2007,67,France Telecom /法国电信,法国(FR),电信运营商,64.86,5.19,125.01,70.62
2007,67,Time Warner /美国在线时代华纳,美国(US),媒体,44.22,6.53,131.67,77.99
2007,69,CCB-China Construction Bank /中国建设银行,中国大陆(CN),银行,23.18,5.84,568.21,126.55
2007,70,Zurich Financial Services /苏黎世金融服务,瑞士(SZ),保险,66.75,4.65,351.19,41.32
2007,71,Sinopec-China Petroleum /中石化,中国大陆(CN),炼油,99.03,5.07,65.83,93.57
2007,72,Arcelor Mittal,荷兰(NL),材料,58.87,5.23,112.17,70.46
2007,73,Honda Motor /本田汽车,日本(JA),耐用消费品,84.32,5.08,89.64,68.03
2007,74,Sanofi-aventis /赛诺菲-安万特,法国(FR),制药与生物技术,37.43,5.28,102.59,115.24
2007,75,Dexia /德克夏银行,比利时(BE),银行,95.78,3.56,745.42,33.80
2007,76,RWE Group /莱茵集团,德国(GE),公用事业,56.56,5.08,118.52,57.28
2007,77,Royal Bank of Canada /加拿大皇家银行,加拿大(CA),银行,32.13,4.21,477.43,58.83
2007,78,Generali Group /忠利集团,意大利(IT),保险,90.90,2.27,398.13,54.50
2007,79,Home Depot /家得宝,美国(US),零售,90.84,5.76,52.26,80.80
2007,80,Novartis /诺华集团,瑞士(SZ),制药与生物技术,37.01,7.37,64.16,130.47
2007,81,Nissan Motor /日产汽车,日本(JA),耐用消费品,80.23,4.41,96.32,47.68
2007,82,Bank of China /中国银行,中国大陆(CN),银行,23.10,3.41,585.55,143.80
2007,83,Lehman Bros Holdings /雷曼兄弟,美国(US),综合金融,46.71,3.96,503.55,39.53
2007,84,KBC Group /KBC集团,比利时(BE),银行,34.22,4.53,428.49,42.35
2007,85,GlaxoSmithKline /葛兰素史克,英国(UK),制药与生物技术,45.45,10.55,45.85,161.20
2007,85,Roche Holding /罗氏集团,瑞士(SZ),制药与生物技术,34.46,6.46,59.41,153.55
2007,87,UniCredito Italiano,意大利(IT),银行,21.50,2.92,922.79,96.24
2007,88,Prudential Financial /保德信金融,美国(US),保险,32.49,3.43,446.90,43.59
2007,89,China Mobile /中国移动,中国香港(HK)/中国大陆(CN),电信运营商,29.79,6.56,51.35,185.31
2007,90,National Australia Bank /澳大利亚国民银行,澳大利亚(AU),银行,28.20,3.28,360.56,51.79
2007,91,Manulife Financial /宏利金融集团,加拿大(CA),保险,28.91,3.41,328.76,51.74
