2011,66,BBVA-Banco Bilbao Vizcaya,西班牙毕尔巴鄂比斯开银行,西班牙,银行,434,63,"7,341",523
2011,67,BHP Billiton,必和必拓,澳大利亚,材料,528,127,848,"2,315"
2011,68,China Life Insurance,中国人寿,中国,保险,482,48,"1,796",966
2011,68,Royal Bank of Canada,加拿大皇家银行,加拿大,银行,318,56,"7,209",872
2011,70,Commonwealth Bank,澳大利亚联邦银行,澳大利亚,银行,343,48,"5,449",792
2011,71,Lukoil,俄罗斯卢克石油,俄罗斯,石油天然气,861,90,840,592
2011,72,BMW Group,宝马集团,德国,耐用消费品,802,43,"1,461",510
2011,73,BASF,巴斯夫,德国,化工,855,61,782,742
2011,74,France Telecom,法国电信,法国,电信服务,609,65,"1,205",567
2011,74,UniCredit Group,意大利联合信贷银行,意大利,银行,688,24,"13,180",473
2011,76,Intesa Sanpaolo,意大利联合圣保罗银行,意大利,银行,499,40,"8,890",412
2011,77,Rosneft,俄罗斯石油公司,俄罗斯,银行,369,41,"6,622",540
2011,77,National Australia Bank,澳大利亚国民银行,澳大利亚,石油天然气,461,104,939,850
2011,79,Zurich Financial Services,苏黎士金融服务,瑞士,保险,679,34,"3,757",399
2011,80,Honda Motor,本田汽车,日本,耐用消费品,918,29,"1,222",732
2011,81,Morgan Stanley,摩根士丹利,美国,多元化金融,380,47,"8,077",438
2011,81,Sanofi-aventis,赛诺菲-安万特集团,法国,医药与生物技术,407,73,"1,103",892
2011,83,MetLife,美国大都会人寿保险,美国,保险,527,28,"7,309",484
2011,84,TD Bank Financial Group,道明银行,加拿大,银行,258,49,"6,162",755
2011,85,ANZ Banking,新西兰银行,澳大利亚,银行,322,44,"5,141",605
2011,86,PepsiCo,百事可乐,美国,食品、酒类和烟草,578,63,682,"1,026"
2011,87,Cisco Systems,思科,美国,技术硬件及设备,424,76,820,992
2011,88,América Móvil,墨西哥美洲电信公司,墨西哥,电信服务,492,73,697,"1,101"
2011,89,Roche Holding,瑞士罗氏公司,瑞士,医药与生物技术,508,93,629,"1,209"
2011,90,ArcelorMittal,安赛乐米塔尔,卢森堡,材料,780,29,"1,309",536
2011,91,Coca-Cola,可口可乐,美国,食品、酒类和烟草,351,118,729,"1,487"
2011,92,Deutsche Telekom,德国电信,德国,电信服务,836,23,"1,646",607
2011,93,Intel,英特尔,美国,半导体,436,115,632,"1,145"
2011,94,Generali Group,忠利集团,意大利,保险,"1,180",23,"5,646",334
2011,95,Saudi Basic Industries,沙特基础工业,沙特阿拉伯,化工,405,57,843,812
2011,96,Anheuser-Busch,安海斯-布希公司,比利时,食品、酒类和烟草,368,41,"1,138",906
2011,96,Sumitomo Mitsui Financial,三井住友金融集团,日本,银行,331,29,"13,103",490
2011,98,Bank of Nova Scotia,诺瓦斯考地亚银行,加拿大,银行,242,44,"5,411",636
2011,99,Crédit Agricole,法国农业信贷银行,法国,银行,889,17,"21,308",386
2011,100,EDF Group,法国电力集团,法国,公用事业,872,14,"3,199",782
2011,101,Repsol YPF,西班牙雷普索尔YPF公司,西班牙,石油天然气,622,62,904,396
2011,101,RWE Group,莱茵集团,德国,公用事业,679,44,"1,217",354
2011,103,Unilever,联合利华,荷兰,食品、酒类和烟草,593,57,548,919
2011,104,Comcast,康卡斯特,美国,媒体,379,36,"1,185",687
2011,105,Kraft Foods,卡夫食品,美国,食品、酒类和烟草,492,41,953,554
2011,106,UnitedHealth Group,联合健康集团,美国,卫生保健器械及服务,942,46,631,477
2011,107,Oracle,甲骨文,美国,软件和服务,320,68,672,"1,612"
2011,108,Tesco,特易购,英国,食品市场,796,35,701,505
2011,109,Munich Re,慕尼黑再保险,德国,保险,609,33,"3,062",283
2011,110,Walt Disney,迪士尼,美国,媒体,390,44,710,815
2011,111,Standard Chartered Group,渣打银行集团,英国,银行,214,43,"5,165",598
2011,112,United Technologies,联合技术公司,美国,企业集团,543,44,585,748
2011,113,Iberdrola,伊维尔德罗拉,西班牙,公用事业,407,38,"1,210",450
2011,114,American Express,美国运通,美国,多元化金融,302,41,"1,470",532
2011,115,Mizuho Financial,瑞穗金融集团,日本,银行,297,26,"16,665",427
2011,116,Prudential Financial,保德信金融集团,美国,保险,384,32,"5,399",307
2011,117,Prudential,保诚集团,英国,保险,756,22,"4,083",294
2011,118,Boeing,波音,美国,宇航国防,643,33,686,527
2011,119,CVS Caremark,希维斯保健标志,美国,零售,964,34,622,465
2011,120,Google,谷歌,美国,软件和服务,293,85,579,"1,858"
2011,121,Reliance Industries,信实工业,印度,石油天然气,453,55,578,717
2011,122,Itaúsa,伊塔乌投资银行,巴西,企业集团,664,23,"3,426",306
2011,123,Mitsubishi Corp,三菱集团,日本,贸易公司,486,29,"1,162",448
2011,124,Bank of Communications,中国交通银行,中国,银行,196,44,"4,839",523
2011,125,A.P. Moller-Maersk Group,穆勒-马士基集团,丹麦,运输,566,47,665,405
2011,126,Nordea Bank,北欧联合银行,瑞典,银行,203,37,"7,763",437
2011,127,Abbott Laboratories,雅培,美国,医药与生物技术,352,46,595,750
2011,128,Suncor Energy,森科能源公司,加拿大,石油天然气,346,36,706,680
2011,129,AstraZeneca,阿斯利康,英国,医药与生物技术,336,81,548,656
2011,130,Xstrata,埃斯拉达矿业,瑞士,材料,305,47,697,641
2011,131,Hyundai Motor,现代汽车,韩国,耐用消费品,785,26,876,358
2011,131,US Bancorp,合众银行,美国,银行,205,33,"3,078",522
2011,133,Anglo American,英美集团,英国,材料,284,66,664,662
2011,134,GlaxoSmithKline,葛兰素史克,英国,医药与生物技术,443,25,621,992
2011,135,Aviva,英杰华集团,英国,保险,907,23,"5,679",205
2011,136,State Bank of India Group,印度国家银行,印度,银行,291,26,"3,222",361
2011,137,Telecom Italia,意大利电信,意大利,电信服务,369,42,"1,171",305
2011,138,Caterpillar,美国卡特彼勒公司,美国,资本货物,426,27,640,639
2011,139,Schlumberger,斯伦贝谢,荷兰,石油天然气,274,43,518,"1,174"
2011,140,Dow Chemical,陶氏化学,美国,化工,537,23,696,430
2011,141,Canon,佳能,日本,商业服务及供应,457,30,491,619
2011,142,Home Depot,家得宝,美国,零售,680,33,401,609
2011,143,Tokyo Electric Power,东京电力,日本,公用事业,537,14,"1,366",415
2011,144,Cnooc,中海油,中国香港,石油天然气,270,80,418,"1,013"
2011,145,China Shenhua Energy,中国神华能源,中国,材料,231,58,516,823
2011,146,Vivendi,威望迪,法国,媒体,387,29,767,338
2011,147,Ping An Insurance Group,平安保险集团,中国,多元化金融,470,17,675,625
2011,147,Bayer Group,拜尔集团,德国,保险,223,20,"1,353",670
2011,149,News Corp,新闻集团,美国,媒体,331,31,567,455
2011,150,Vinci,万喜,法国,建筑,455,24,755,329
2011,151,Marathon Oil,马拉松石油,美国,石油天然气,671,26,500,356
2011,152,PNC Financial Services,PNC金融服务集团,美国,银行,171,34,"2,643",331
2011,153,Philip Morris International,菲利浦·莫里斯公司,美国,食品、酒类和烟草,272,73,351,"1,146"
2011,154,United Parcel Service,联合包裹,美国,运输,495,35,336,731
2011,155,Target,塔吉特,美国,零售,674,29,437,357
2011,156,Bank of Montreal,蒙特利尔银行,加拿大,银行,160,29,"4,131",357
2011,157,China Telecom,中国电信,中国,电信服务,325,23,618,472
2011,158,Occidental Petroleum,西方石油,美国,石油天然气,192,45,524,803
2011,159,British Amer Tobacco,英美烟草,英国,食品、酒类和烟草,232,45,430,766
2011,160,Hutchison Whampoa,和记黄埔,中国香港,企业集团,269,18,873,499
2011,161,Nokia,诺基亚,芬兰,技术硬件及设备,568,25,503,312
2011,162,Renault,雷诺,法国,耐用消费品,522,46,931,167
2011,163,Time Warner,时代华纳,美国,媒体,269,26,665,397
2011,163,TNK-BP Holding,TNK-BP控股,俄罗斯,石油天然气,436,58,331,442
